対象リソース	API	エンドポイント	概要	HTTPメソッド
―	アクセストークン取得	/v1/auth/token	各リソースのAPIを実行するために必要なトークンを取得する	POST
―	リソース定義取得	/v1/ext2/schema/{resourceCategory}	指定されたリソースの項目リスト等を取得する	GET
マスタ	一覧取得	/v1/ext2/master/list	コード値で表されるマスタの一覧を取得する	GET
マスタ	詳細取得	/v1/ext2/master/{codeName}	指定されたマスタのコード値とラベルを取得する	GET
求職者	検索	/v1/ext2/career/search	登録されている求職者の一覧を取得する	POST
求職者	取得	/v1/ext2/career/select/{id}	指定された求職者の詳細情報を取得する	POST
求職者	登録	/v1/ext2/career/	求職者を新規登録する	POST
求職者	更新	/v1/ext2/career/{id}	指定された求職者を更新する	PUT
求職者	削除	/v1/ext2/career/{id}	指定された求職者を削除する	DELETE
求職者職歴	検索	/v1/ext2/career_workexperience/search	登録されている求職者の職歴の一覧を取得する	POST
求職者職歴	取得	/v1/ext2/career_workexperience/select/{id}	指定された求職者の職歴の詳細情報を取得する	POST
求職者職歴	登録	/v1/ext2/career_workexperience/	求職者の職歴を新規登録する	POST
求職者職歴	更新	/v1/ext2/career_workexperience/{id}	指定された求職者の職歴を更新する	PUT
求職者職歴	削除	/v1/ext2/career_workexperience/{id}	指定された求職者の職歴を削除する	DELETE
求職者対応履歴	検索	/v1/ext2/career_action/search	登録されている求職者の対応履歴の一覧を取得する	POST
求職者対応履歴	取得	/v1/ext2/career_action/select/{id}	指定された求職者の対応履歴の詳細情報を取得する	POST
求職者対応履歴	登録	/v1/ext2/career_action/	求職者の対応履歴を新規登録する	POST
求職者対応履歴	更新	/v1/ext2/career_action/{id}	指定された求職者の対応履歴を更新する	PUT
求職者対応履歴	削除	/v1/ext2/career_action/{id}	指定された求職者の対応履歴を削除する	DELETE
企業	検索	/v1/ext2/client/search	登録されている企業の一覧を取得する	POST
企業	取得	/v1/ext2/client/select/{id}	指定された企業の詳細情報を取得する	POST
企業	登録	/v1/ext2/client/	企業を新規登録する	POST
企業	更新	/v1/ext2/client/{id}	指定された企業を更新する	PUT
企業	削除	/v1/ext2/client/{id}	指定された企業を削除する	DELETE
企業対応履歴	検索	/v1/ext2/client_action/search	登録されている企業の対応履歴の一覧を取得する	POST
企業対応履歴	取得	/v1/ext2/client_action/select/{id}	指定された企業の対応履歴の詳細情報を取得する	POST
企業対応履歴	登録	/v1/ext2/client_action/	企業の対応履歴を新規登録する	POST
企業対応履歴	更新	/v1/ext2/client_action/{id}	指定された企業の対応履歴を更新する	PUT
企業対応履歴	削除	/v1/ext2/client_action/{id}	指定された企業の対応履歴を削除する	DELETE
部署	検索	/v1/ext2/department/search	登録されている企業の部署一覧を取得する	POST
部署	取得	/v1/ext2/department/select/{id}	指定された企業の部署情報を取得する	POST
部署	登録	/v1/ext2/department/	企業の部署を新規登録する	POST
部署	更新	/v1/ext2/department/{id}	指定された企業の部署情報を更新する	PUT
部署	削除	/v1/ext2/department/{id}	指定された企業の部署情報を削除する	DELETE
求人	検索	/v1/ext2/order/search	登録されている求人の一覧を取得する	POST
求人	取得	/v1/ext2/order/select/{id}	指定された求人の詳細情報を取得する	POST
求人	登録	/v1/ext2/order/	求人を新規登録する	POST
求人	更新	/v1/ext2/order/{id}	指定された求人を更新する	PUT
求人	削除	/v1/ext2/order/{id}	指定された求人を削除する	DELETE
求職者候補	検索	/v1/ext2/wrkcareer/search	登録されている求職者候補の一覧を取得する	POST
求職者候補	取得	/v1/ext2/wrkcareer/select/{id}	指定された求職者候補の詳細情報を取得する	POST
求職者候補	登録	/v1/ext2/wrkcareer/	求職者候補を新規登録する	POST
求職者候補	更新	/v1/ext2/wrkcareer/{id}	指定された求職者候補を更新する	PUT
求職者候補	削除	/v1/ext2/wrkcareer/{id}	指定された求職者候補を削除する	DELETE
