	改訂履歴

	文書名	CAREER PLUS_APIv2_項目一覧		文書番号

	改定日	改定者	改定箇所	改定内容
	2021-05-21 00:00:00	鈴木	全シート	APIv2の構築に伴い新規作成
	2022-10-17 00:00:00	鈴木	求職者	CAREER PLUS バージョンアップ（v3.6.11.2）に伴う修正 /  / 下記項目で使用する都道府県マスタの修正 / ・CAREER#WISHWKAREA_ID
	2023-01-18 00:00:00	時田	求人	CAREER PLUS バージョンアップ（v3.7.4）に伴う修正 /  / 小数点以下の数値を扱えるように下記項目の最大サイズを4から7へ変更 / ・ORDER#MINANNUALINCM / ・ORDER#MAXANNUALINCM / ・ORDER#MODELANNUALINCM / ・ORDER#MINBASEPAY / ・ORDER#MAXBASEPAY / ・ORDER#MINBASE_EXC_FIX_OVERTIME_PAY / ・ORDER#MAXBASE_EXC_FIX_OVERTIME_PAY
	2023-02-07 00:00:00	菅野	求職者 / 求職者候補	CAREER PLUS バージョンアップ（v3.7.4）に伴う修正 /  / 求職者の生年月日から必須を外す / <求職者>シート / ・CAREER#BIRTH_DATE / <求職者候補>シート / ・WRKCAREER#BIRTH_DATEY / ・WRKCAREER#BIRTH_DATEM / ・WRKCAREER#BIRTH_DATED
	2023-04-17 00:00:00	大西	求職者	CAREER PLUS バージョンアップ（v3.7.5）に伴う修正 /  / 求職者の職安職種に2023年新分類項目を追加 / それに伴い、既存の職安職種の項目ラベルに「（旧分類）」を付与 / <求職者>シート / ・CAREER#PUBLICEMPLOYMENT_REV2023_ID / ・CAREER#PUBLICEMPLOYMENT_ID
	2023-04-26 00:00:00	吉田	部署	CAREER PLUS バージョンアップ（v3.7.6）に伴う修正 /  / 部署担当者を5名まで登録できるようにする。 / <部署>シート / ・DEPARTMENT#CLT_CHARGE_SEQ1~5 / ・DEPARTMENT#CLT_CHARGE_TYPE1~5 / ・DEPARTMENT#CLT_CHARGE_POST1~5 / ・DEPARTMENT#CLT_CHARGE_NAME1~5 / ・DEPARTMENT#CLT_CHARGE_TEL1~5 / ・DEPARTMENT#CLT_CHARGE_FAX1~5 / ・DEPARTMENT#CLT_CHARGE_Email1~5
	2023-05-15 00:00:00	吉田	求人	CAREER PLUS バージョンアップ（v3.7.7）に伴う修正 / PROJECTMANAGEMENT-992 / 　【Product】事業報告書の追加改修_求人の雇用期間を「日数」で入力できるように追加する /  / 雇用期間（日数）を追加 / ・ORDER#EMPLOYMENT_PERIOD_NUM_OF_DAYS
	2023-05-29 00:00:00	畝重	求人	CAREER PLUS バージョンアップ（v3.7.5）に伴う修正 /  / 求人の職安職種に2023年新分類項目を追加 / それに伴い、既存の職安職種の項目ラベルに「（旧分類）」を付与 / <求人>シート / ・ORDER#PUBLICEMPLOYMENT_REV2023_ID / ・ORDER#PUBLICEMPLOYMENT_ID
	2023-06-19 00:00:00	吉田	求職者	CAREER PLUS バージョンアップ（v3.7.4.4）に伴う修正 /  / 求職者に下記項目を新規追加。 / ・CAREER#UNIQUE_KEY / ・CAREER#MYPAGE_STATUS / ・CAREER#LAST_LOGIN / ・CAREER#CHARGE_EMAIL / 
	2023-06-26 00:00:00	由井	求職者	 / CAREER PLUS バージョンアップ（v3.7.4.4）に伴う修正 /  / 求職者の以下項目の項目タイプを修正。 / ・CAREER#WISHWKAREA_ID / 
	2023-09-27 00:00:00	由井	求職者候補	CAREER PLUS バージョンアップ（v3.7.5.3）に伴う修正 /  / 求職者候補に下記項目を新規追加。 / ・WRKCAREER#MEDIA_ID
	2023-11-15 00:00:00	相良	求人	CAREER PLUS バージョンアップ（v3.7.6）に伴う修正 /  / 求人に下記項目を新規追加 / ・ORDER#MEDIA16_FLG / ・ORDER#MEDIA16_REQUESTDATE
	2024-01-24 00:00:00	相良	求職者 / 求職者職歴 / 求人 / 進捗詳細 / 求職者候補	CAREER PLUS バージョンアップ（v3.7.8）に伴う修正 /  / 下記項目の最大サイズを12へ変更 / <求職者>シート / ・CAREER#ALLOWANCE_NUM_1～4 / ・CAREER#CURRENT_ANNUALINCOME_NUM / ・CAREER#MINWISHANNUALINCM_NUM / ・CAREER#MONTHLY_ANNUALINCOME_NUM / ・CAREER#WISHANNUALINCM_NUM / ・CAREER#YEAR_BONUS / <求職者職歴>シート / ・CAREER_WORKEXP#ANNUALINCM / <求人>シート / ・ORDER#MAXANNUALINCM / ・ORDER#MAXBASE_EXC_FIX_OVERTIME_PAY / ・ORDER#MAXBASEPAY / ・ORDER#MINANNUALINCM / ・ORDER#MINBASE_EXC_FIX_OVERTIME_PAY / ・ORDER#MINBASEPAY / ・ORDER#MODELANNUALINCM / <進捗詳細>シート / ・PROGRESS_HISTORY#ESTIMATED_SALES_AMOUNT / <求職者候補>シート / ・WRKCAREER#ANNUALINCM1～10 / ・WRKCAREER#CURRENT_ANNUALINCOME_NUM / ・WRKCAREER#MINWISHANNUALINCM_NUM / ・WRKCAREER#WISHANNUALINCM_NUM
