対象リソース	求人
RESOURCE_CATEGORY	order 
関連リソース	企業、部署
項目ID	項目ラベル	項目タイプ	最大サイズ	必須	読み取り専用	更新	並び替え	参照マスタ
ORDER#ADDR1_1	市区町村1	text	100	-	-	○	○	-
ORDER#ADDR1_2	市区町村2	text	100	-	-	○	○	-
ORDER#ADDR2_1	丁目番地号1	text	70	-	-	○	○	-
ORDER#ADDR2_2	丁目番地号2	text	70	-	-	○	○	-
ORDER#ADDR3_1	ビル名等1	text	50	-	-	○	○	-
ORDER#ADDR3_2	ビル名等2	text	50	-	-	○	○	-
ORDER#AGE_FLG	年齢不問	selectone	-	-	-	○	○	MSTCHOICE
ORDER#AGELIMITCOMMENT_ID	年齢制限理由	selectone	-	-	-	○	○	MSTAGELIMIT
ORDER#AGELIMITCOMMENT_RE	具体理由	textarea	500	-	-	○	○	-
ORDER#ALLOWANCE	諸手当	textarea	150	-	-	○	×	-
ORDER#ANNUALHOLIDAYS	年間休日日数	number	3	-	-	○	○	-
ORDER#ANNUALINCMMEMO	年収について補足	textarea	200	-	-	○	○	-
ORDER#ANONYMITYEXT_FLG	社外HP匿名	selectone	-	-	-	○	○	MSTNONYMITY
ORDER#ANONYMITYINT_FLG	社内HP匿名	selectone	-	-	-	○	○	MSTNONYMITY
ORDER#BONUS_RE	賞与(回数)	number	4	-	-	○	○	-
ORDER#BRINGING	持参物	textarea	200	-	-	○	○	-
ORDER#CAREERCHANGE_NUM	転職回数	number	2	-	-	○	○	-
ORDER#CLOSED_FLG	条件(土日休み)	selectone	-	-	-	○	○	MSTCHOICE
ORDER#CONDITIONSMEMO	条件	textarea	100	-	-	○	○	-
ORDER#CONTACTINFO	連絡先	textarea	200	-	-	○	○	-
ORDER#CORETIMEEH	コアタイム(時)(終了)	number	2	-	-	○	○	-
ORDER#CORETIMEEM	コアタイム(分)(終了)	number	2	-	-	○	○	-
ORDER#CORETIMESH	コアタイム(時)(開始)	number	2	-	-	○	○	-
ORDER#CORETIMESM	コアタイム(分)(開始)	number	2	-	-	○	○	-
ORDER#CLIENTSUB_ID	部署	number	9	●	-	○	○	-
ORDER#CLIENT_ID	企業ID	number	9	●	-	×	○	-
ORDER#DISC_LABOR_SYS_HOUR	裁量労働制補足(時間)	number	5	-	-	○	○	-
ORDER#DISC_LABOR_SYS_TYPE	裁量労働制補足(制度)	selectone	-	-	-	○	○	MST_DISC_LABOR_SYS_TYPE
ORDER#DISCRETIONARY_LABOR_SYS_ID	裁量労働制	selectone	-	-	-	○	○	MST_CONTENT_CODE
ORDER#EMPLY_NUM	採用人数	number	3	-	-	○	○	-
