対象リソース	求職者
RESOURCE_CATEGORY	career
関連リソース	なし
項目ID	項目ラベル	項目タイプ	最大サイズ	必須	読み取り専用	更新	並び替え	参照マスタ
CAREER#ACTIVITYSTATUS	希望条件_本人活動状況	textarea	2000	-	-	○	×	-
CAREER#ADDR1	市区町村	text	100	-	-	○	○	-
CAREER#ADDR1KANA	市区町村カナ	text	50	-	-	○	○	-
CAREER#ADDR2	丁目番地号	text	70	-	-	○	○	-
CAREER#ADDR2KANA	丁目番地号カナ	text	70	-	-	○	○	-
CAREER#ADDR3	マンション・ビル	text	70	-	-	○	○	-
CAREER#ALLOWANCE_ID1	希望条件_諸手当1(区分)	selectone	-	-	-	○	○	MSTALLOWANCE
CAREER#ALLOWANCE_ID2	希望条件_諸手当2(区分)	selectone	-	-	-	○	○	MSTALLOWANCE
CAREER#ALLOWANCE_ID3	希望条件_諸手当3(区分)	selectone	-	-	-	○	○	MSTALLOWANCE
CAREER#ALLOWANCE_ID4	希望条件_諸手当4(区分)	selectone	-	-	-	○	○	MSTALLOWANCE
CAREER#ALLOWANCE_NUM_1	希望条件_諸手当1(金額)	number	12	-	-	○	○	-
CAREER#ALLOWANCE_NUM_2	希望条件_諸手当2(金額)	number	12	-	-	○	○	-
CAREER#ALLOWANCE_NUM_3	希望条件_諸手当3(金額)	number	12	-	-	○	○	-
CAREER#ALLOWANCE_NUM_4	希望条件_諸手当4(金額)	number	12	-	-	○	○	-
CAREER#BIRTH_DATE	生年月日	date	-	-	-	○	○	-
CAREER#CAPITAL	希望条件_資本種別	selectone	-	-	-	○	○	MSTCAPITAL
CAREER#CAREERPLAN	希望条件_活動方針・戦略	textarea	2000	-	-	○	×	-
CAREER#CAREER_ID	求職者ID	number	-	-	●	○	○	-
CAREER#CAREER_OUTLINE	希望条件_キャリア概要	textarea	2000	-	-	○	×	-
CAREER#CAREER_SHEET_MEMO	キャリアシート備考	textarea	2000	-	-	○	×	-
CAREER#CHANGEADDR_FLG	希望条件_転居の可能性	selectone	-	-	-	○	○	MSTCHANGEADDR
CAREER#CHANGE_OCCUPATION	希望条件_転職理由	textarea	1000	-	-	○	○	-
CAREER#CHARGEAREA_ID	担当エリア	selectone	-	-	-	○	○	MSTAREA
CAREER#CHARGETEAM_ID	担当チーム	selectone	-	-	●	○	○	MSTTEAM
CAREER#CHARGE_ID	担当者	selectone	-	-	-	○	○	MSTUSER
CAREER#CHARGE_EMAIL	担当者メールアドレス	text	-	●	●	×	○	-
CAREER#CNSLSTATUS_ID	面談ステータス	selectone	2	●	-	○	○	MSTCNSLSTATUS
CAREER#CNSL_DATE	面談日	datetime	-	-	-	○	○	-
CAREER#COMMUNICATIONREC	希望条件_その他情報	textarea	2000	-	-	○	×	-
CAREER#COMPHOUSEDORM_ID	社宅・寮	selectone	-	-	-	○	○	MSTCOMPHOUSEDORM
CAREER#CONTACTNOTES	連絡時注意事項	textarea	400	-	-	○	○	-
CAREER#CURRENT_ANNUALINCOME_NUM	希望条件_現年収	number	12	-	-	○	○	-
CAREER#DEPENDENTS_NUM	希望条件_扶養家族	number	2	-	-	○	○	-
CAREER#ENTRY_DATE	エントリー日	datetime	-	-	-	○	○	-
CAREER#EXPCOMP_NUM	希望条件_経験社数	number	2	-	-	○	○	-
CAREER#EXPINDSCTG1_ID	経験業種1	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPINDSCTG2_ID	経験業種2	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPINDSCTG3_ID	経験業種3	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPINDSCTG4_ID	経験業種4	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPINDSCTG5_ID	経験業種5	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPINDSCTG6_ID	経験業種6	selectone	-	-	-	○	○	MSTINDSCTG
CAREER#EXPOCUPCTG1_ID	経験職種1	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#EXPOCUPCTG2_ID	経験職種2	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#EXPOCUPCTG3_ID	経験職種3	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#EXPOCUPCTG4_ID	経験職種4	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#EXPOCUPCTG5_ID	経験職種5	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#EXPOCUPCTG6_ID	経験職種6	selectone	-	-	-	○	○	MSTOCUP3CLASS
CAREER#FIRSTNAME	求職者名	text	30	●	-	○	○	-
CAREER#FIRSTNAMEKANA	求職者名(カナ)	text	15	●	-	○	○	-
CAREER#IMPRESSCOMMENT	希望条件_印象・コメント	textarea	2000	-	-	○	×	-
CAREER#INHABITTYPE_ID	居住区分	selectone	-	-	-	○	○	MSTINHABITTYPE
CAREER#INSERT_DATE	入力日	datetime	-	-	●	○	○	-
CAREER#JOBCHANGE_DATE	希望条件_希望転職時期	date	-	-	-	○	○	-
CAREER#JOBCHANGE_FLG	希望条件_希望転職時期(区分)	selectone	-	-	-	○	○	MSTJOBCHANGETIME
CAREER#LASTNAME	求職者姓	text	30	●	-	○	○	-
CAREER#LASTNAMEKANA	求職者姓(カナ)	text	15	●	-	○	○	-
CAREER#LSTSCHL_ID	学歴_最終学歴区分	selectone	-	-	-	○	○	MSTLSTSCHL
CAREER#MEDIANOTES	登録ルート詳細	textarea	200	-	-	○	○	-
CAREER#MEDIA_ID	登録ルート	selectone	-	-	-	○	○	MSTMEDIA
CAREER#MEMO	備考	textarea	2000	-	-	○	×	-
CAREER#MINWISHANNUALINCM_NUM	希望条件_最低希望年収	number	12	-	-	○	○	-
CAREER#MONTHLY_ANNUALINCOME_NUM	希望条件_月収	number	12	-	-	○	○	-
CAREER#NEARESTSTATION_ID	最寄駅	search	-	-	-	○	○	MSTSTATION
CAREER#OLDCAREER_ID	過去ID	text	20	-	-	○	○	-
CAREER#OTHERAGENT_NUM	希望条件_他社への登録	number	2	-	-	○	○	-
