対象リソース	求職者候補
RESOURCE_CATEGORY	wrkcareer 
関連リソース	なし
項目ID	項目ラベル	項目タイプ	最大サイズ	必須	読み取り専用	更新	並び替え	参照マスタ
WRKCAREER#ACTIVITYSTATUS	本人活動状況	textarea	2000	-	-	○	×	-
WRKCAREER#ADDR1	市区町村	text	100	-	-	○	○	-
WRKCAREER#ADDR2	丁目番地号	text	70	-	-	○	○	-
WRKCAREER#ADDR3	マンション・ビル	text	70	-	-	○	○	-
WRKCAREER#ANNUALINCM1	職歴1年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM10	職歴10年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM2	職歴2年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM3	職歴3年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM4	職歴4年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM5	職歴5年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM6	職歴6年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM7	職歴7年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM8	職歴8年収	number	12	-	-	○	○	-
WRKCAREER#ANNUALINCM9	職歴9年収	number	12	-	-	○	○	-
WRKCAREER#BIRTH_DATED	生年月日（日）	number	2	-	-	○	○	-
WRKCAREER#BIRTH_DATEM	生年月日（月）	number	2	-	-	○	○	-
WRKCAREER#BIRTH_DATEY	生年月日（年）	number	4	-	-	○	○	-
WRKCAREER#BUSICONTENTS1	職歴1事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS10	職歴10事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS2	職歴2事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS3	職歴3事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS4	職歴4事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS5	職歴5事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS6	職歴6事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS7	職歴7事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS8	職歴8事業内容	textarea	200	-	-	○	○	-
WRKCAREER#BUSICONTENTS9	職歴9事業内容	textarea	200	-	-	○	○	-
WRKCAREER#CAPITAL	資本種別	number	13	-	-	○	○	MSTCAPITAL
WRKCAREER#CAPITAL1	職歴1資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL10	職歴10資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL2	職歴2資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL3	職歴3資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL4	職歴4資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL5	職歴5資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL6	職歴6資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL7	職歴7資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL8	職歴8資本金	number	13	-	-	○	○	-
WRKCAREER#CAPITAL9	職歴9資本金	number	13	-	-	○	○	-
WRKCAREER#CAREER_OUTLINE	キャリア概要	textarea	2000	-	-	○	×	-
WRKCAREER#CAREERPLAN	活動方針・戦略	textarea	2000	-	-	○	×	-
WRKCAREER#CHANGE_OCCUPATION	転職理由	textarea	1000	-	-	○	○	-
WRKCAREER#CHANGEADDR_FLG	転居の可能性	selectone	-	-	-	○	○	MSTCHANGEADDR
WRKCAREER#CHARGE_ID	担当者	selectone	-	-	-	○	○	MSTUSER
WRKCAREER#CHARGEAREA_ID	担当地域	selectone	-	-	-	○	○	MSTAREA
WRKCAREER#CHARGETEAM_ID	担当チーム	selectone	-	-	●	○	○	MSTTEAM
WRKCAREER#COMMUNICATIONREC	その他情報	textarea	2000	-	-	○	×	-
WRKCAREER#COMPHOUSEDORM_ID	寮・社宅	selectone	-	-	-	○	○	MSTCOMPHOUSEDORM
WRKCAREER#COMPNAME1	職歴1企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME10	職歴10企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME2	職歴2企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME3	職歴3企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME4	職歴4企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME5	職歴5企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME6	職歴6企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME7	職歴7企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME8	職歴8企業名	text	50	-	-	○	○	-
WRKCAREER#COMPNAME9	職歴9企業名	text	50	-	-	○	○	-
WRKCAREER#CONTACTNOTES	連絡時注意事項	textarea	400	-	-	○	○	-
WRKCAREER#CURRENT_ANNUALINCOME_NUM	現年収	number	12	-	-	○	○	-
WRKCAREER#DEPENDENTS_NUM	扶養家族	number	2	-	-	○	○	-
WRKCAREER#DEPT1	職歴1部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT10	職歴10部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT2	職歴2部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT3	職歴3部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT4	職歴4部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT5	職歴5部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT6	職歴6部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT7	職歴7部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT8	職歴8部署名	text	50	-	-	○	○	-
WRKCAREER#DEPT9	職歴9部署名	text	50	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM1	職歴1従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM10	職歴10従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM2	職歴2従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM3	職歴3従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM4	職歴4従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM5	職歴5従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM6	職歴6従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM7	職歴7従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM8	職歴8従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPLOYEE_NUM9	職歴9従業員数	number	6	-	-	○	○	-
WRKCAREER#EMPTYPE_ID1	職歴1雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID10	職歴10雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID2	職歴2雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID3	職歴3雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID4	職歴4雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID5	職歴5雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID6	職歴6雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID7	職歴7雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID8	職歴8雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#EMPTYPE_ID9	職歴9雇用形態	selectone	-	-	-	○	○	MSTEMPTYPE
WRKCAREER#ENGEXPYEAR	英語・ビジネス経験（経験年数）	number	2	-	-	○	○	-
WRKCAREER#ENGMEMO	英語・その他補足	textarea	200	-	-	○	○	-
WRKCAREER#ENGREADSKL_ID	英語・読解	selectone	-	-	-	○	○	MSTREADSKL
WRKCAREER#ENGSPEAKSKL_ID	英語・会話	selectone	-	-	-	○	○	MSTSPEAKSKL
WRKCAREER#ENGWRITESKL_ID	英語・作文	selectone	-	-	-	○	○	MSTWRITESKL
WRKCAREER#ENTRANCE_FLG	入学編入フラグ	selectone	-	-	-	○	○	MSTENTRANCE
WRKCAREER#ENTRANCEMON	入学月	number	2	-	-	○	○	-
WRKCAREER#ENTRANCEYR	入学年	number	4	-	-	○	○	-
WRKCAREER#ENTRY_DATE	エントリー日	datetime	-	-	-	○	○	-
WRKCAREER#ENTRY_OTHERS	ルート詳細その他	textarea	200	-	-	○	○	-
WRKCAREER#EXPCOMP_NUM	経験社数	number	2	-	-	○	○	-
WRKCAREER#EXPINDSCTG1_ID	経験業種1	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPINDSCTG2_ID	経験業種2	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPINDSCTG3_ID	経験業種3	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPINDSCTG4_ID	経験業種4	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPINDSCTG5_ID	経験業種5	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPINDSCTG6_ID	経験業種6	selectone	-	-	-	○	○	MSTINDSCTG
WRKCAREER#EXPOCUPCTG1_ID	経験職種1	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#EXPOCUPCTG2_ID	経験職種2	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#EXPOCUPCTG3_ID	経験職種3	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#EXPOCUPCTG4_ID	経験職種4	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#EXPOCUPCTG5_ID	経験職種5	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#EXPOCUPCTG6_ID	経験職種6	selectone	-	-	-	○	○	MSTOCUP3CLASS
WRKCAREER#FIRSTNAME	氏名（名）	text	30	●	-	○	○	-
WRKCAREER#FIRSTNAMEKANA	フリガナ（名）	text	15	●	-	○	○	-
