対象リソース	部署
RESOURCE_CATEGORY	department 
関連リソース	企業
項目ID	項目ラベル	項目タイプ	最大サイズ	必須	読み取り専用	更新	並び替え	参照マスタ
DEPARTMENT#ADDR1	市区町村	text	100	-	-	○	○	-
DEPARTMENT#ADDR2	丁目番地号	text	70	-	-	○	○	-
DEPARTMENT#ADDR3	ビル名等	text	50	-	-	○	○	-
DEPARTMENT#CHARGE_ID	担当者	selectone	-	●	-	○	○	MSTUSER
DEPARTMENT#CHARGEAREA_ID	担当エリア	selectone	-	-	-	○	○	MSTAREA
DEPARTMENT#CHARGETEAM_ID	担当チーム	selectone	-	-	●	○	○	MSTTEAM
DEPARTMENT#CLIENT_ID	企業ID	number	-	-	●	○	○	-
DEPARTMENT#CLIENTSUB_ID	部署番号	number	-	-	●	○	○	-
DEPARTMENT#CLT_DEPT	担当者・所属部署	text	100	●	-	○	○	-
DEPARTMENT#CLT_DEPT2	責任者・所属部署	text	100	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_SEQ1	担当者・部署担当者ID1	number	8	-	-	-	○	-
DEPARTMENT#CLT_CHARGE_SEQ2	担当者・部署担当者ID2	number	8	-	-	-	○	-
DEPARTMENT#CLT_CHARGE_SEQ3	担当者・部署担当者ID3	number	8	-	-	-	○	-
DEPARTMENT#CLT_CHARGE_SEQ4	担当者・部署担当者ID4	number	8	-	-	-	○	-
DEPARTMENT#CLT_CHARGE_SEQ5	担当者・部署担当者ID5	number	8	-	-	-	○	-
DEPARTMENT#CLT_CHARGE_TYPE1	担当者・主担当1	number	1	-	-	○	○	MSTCHOICE
DEPARTMENT#CLT_CHARGE_TYPE2	担当者・主担当2	number	1	-	-	○	○	MSTCHOICE
DEPARTMENT#CLT_CHARGE_TYPE3	担当者・主担当3	number	1	-	-	○	○	MSTCHOICE
DEPARTMENT#CLT_CHARGE_TYPE4	担当者・主担当4	number	1	-	-	○	○	MSTCHOICE
DEPARTMENT#CLT_CHARGE_TYPE5	担当者・主担当5	number	1	-	-	○	○	MSTCHOICE
DEPARTMENT#CLT_CHARGE_POST1	担当者・役職1	text	25	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_POST2	担当者・役職2	text	25	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_POST3	担当者・役職3	text	25	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_POST4	担当者・役職4	text	25	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_POST5	担当者・役職5	text	25	-	-	○	○	-
DEPARTMENT#CLT_CHARGE_NAME1	担当者・氏名1	text	25	-	-	○	○	-
